internship_title,company_name,location,start_date,duration,stipend,required_skills
Java Development,SunbaseData,Work From Home,Immediately,6 Months,"₹ 30,000 /month","CSS, Data Structures, Git, HTML, Java, JavaScript, OOPs, Problem Solving, Responsive Design, Teamwork, Time Management"
Accounting and Finance,DAKSM & Co. LLP,Noida,Immediately,6 Months,"₹ 5,000-10,000 /month","Accounting Basics, Excel, Financial Analysis, Tally, Teamwork, Time Management"
Sales & Digital Marketing,Bharat Natural Elements Private Limited,Bangalore,Immediately,6 Months,"₹ 5,000 /month","Analytics, CRM, Communication, Content Creation, Digital Marketing, Lead Generation, SEO, Sales Strategy, Teamwork, Time Management"
Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Immediately,6 Months,Unpaid,"Communication, Community Outreach, Project Management, Teamwork, Time Management"
Videography & Photography,Esquare Lifestyle,Bangalore,Immediately,6 Months,"₹ 12,000 /month","Adobe Premiere Pro, Creativity, Photography, Teamwork, Time Management, Video Editing"
English Curriculum Writing,Team Everest,Work From Home,Immediately,6 Months,Unpaid,"Teamwork, Time Management"
Search Engine Optimization (SEO),Global Trend,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Teamwork, Time Management"
Digital Dreamweaver: Internship Odyssey In Graphic Design,Global Trend,Work From Home,Immediately,6 Months,"₹ 7,000 /month","Teamwork, Time Management"
Graphic Design,Expedify,Work From Home,Immediately,6 Months,"₹ 10,000-15,000 /month","Teamwork, Time Management"
Campus Ambassador,Internshala,Work From Home,Not specified,6 Months,₹2000,"Teamwork, Time Management"
Customer Support Management,ClearTax,Bangalore,Immediately,6 Months,"₹ 30,000 /month","Teamwork, Time Management"
Bilingual Content Writing,Aam Aadmi Party,Delhi,Immediately,6 Months,Unpaid,"Teamwork, Time Management"
Office Operations,Aam Aadmi Party,Delhi,Immediately,6 Months,Unpaid,"Teamwork, Time Management"
Design,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"₹ 10,000 /month","Teamwork, Time Management"
Copywriting,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"₹ 10,000 /month","Teamwork, Time Management"
Social Media And Influencer Marketing,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,6 Months,"₹ 5,000 /month","Analytics, Communication, Community Outreach, Content Creation, Digital Marketing, Project Management, SEO, Teamwork, Time Management"
Customer Success,ClearTax,Bangalore,Immediately,6 Months,"₹ 20,000 /month","Teamwork, Time Management"
Instagram/TikTok Reel Creation,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 1,500-2,500 /month","Teamwork, Time Management"
Corporate Sales,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 2,000-2,500 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Affiliate Marketing,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 2,000-2,500 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Product Management,Saregama India Limited,Mumbai,Immediately,6 Months,"₹ 5,000-10,000 /month","Teamwork, Time Management"
Influencer Marketing,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Media And Public Relations (PR),Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Teamwork, Time Management"
Law/Legal,Thomas Cook,Mumbai,Immediately,6 Months,"₹ 3,000 /month","Teamwork, Time Management"
Human Resources (HR),Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"₹ 10,000 /month","Teamwork, Time Management"
PHP Laravel Development,Across The Globe (ATG),Work From Home,Immediately,6 Months,"₹ 2,500 /month +  Incentives","CSS, Git, HTML, JavaScript, Responsive Design, Teamwork, Time Management"
Campus Ambassador,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Performance Based,"Teamwork, Time Management"
Social Work,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Communication, Community Outreach, Project Management, Teamwork, Time Management"
Social (Fundraising),Subhansh Sewa Trust,Work From Home,Immediately,6 Months,Unpaid,"Communication, Community Outreach, Data Preprocessing, Machine Learning, Project Management, Python, Scikit-learn, Teamwork, Time Management"
Human Resources (HR),Paisabazaar,Gurgaon,Immediately,6 Months,"₹ 20,000 /month","Teamwork, Time Management"
Sales,Prolance,Bangalore,Immediately,6 Months,"₹ 5,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Sales  Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,6 Months,"₹ 12,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Marketing,HarperCollins Publishers India Private Limited,Gurgaon,Immediately,6 Months,"₹ 5,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
Human Resources (HR),Zucol Group Of Companies,Gurgaon,Immediately,6 Months,"₹ 8,000 /month","Teamwork, Time Management"
Sales,NoBroker Technologies Solutions Private Limited,Chennai,Immediately,6 Months,"₹ 12,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
Recruitment,Ozzone Group,Work From Home,Immediately,6 Months,"₹ 4,500 /month","Teamwork, Time Management"
Sales,Reliance Brands Limited,Chandigarh,Immediately,6 Months,"₹ 14,000 /month","CRM, Communication, Lead Generation, Sales Strategy, Teamwork, Time Management"
UX Design,Techolution,Work From Home,Immediately,6 Months,"₹ 15,000 /month","Teamwork, Time Management"
HR Consultant,Paracoat Products Limited,Gurgaon,Immediately,6 Months,"₹ 15,000 /month","Teamwork, Time Management"
Law/Legal,Techolution,Work From Home,Immediately,6 Months,"₹ 15,000 /month","Teamwork, Time Management"
L&D,Godrej And Boyce Manufacturing Company Limited,Mumbai,Immediately,6 Months,"₹ 4,000 /month","Teamwork, Time Management"
Human Resources (HR),Trent Hypermarket Private Limited - STAR Bazaar,Mumbai,Immediately,6 Months,"₹ 7,000-10,000 /month","Teamwork, Time Management"
Search Engine Optimization (SEO),CollegeDunia Web Private Limited,Work From Home,Immediately,6 Months,"₹ 15,000-20,000 /month","Teamwork, Time Management"
Human Resources (HR),International SOS,Mumbai,Immediately,6 Months,"₹ 15,000 /month","Teamwork, Time Management"
Launch Management,Cultfit Healthcare Private Limited,Hyderabad,Immediately,6 Months,"₹ 25,000 /month","Teamwork, Time Management"
Marketing,Shree Maruti Courier Service Private Limited,Sachin INA,Immediately,6 Months,"₹ 7,000-12,000 /month","Analytics, Communication, Content Creation, Digital Marketing, SEO, Teamwork, Time Management"
HR - Talent Acquisition,Niva Bupa Health Insurance,Noida,Immediately,6 Months,"₹ 10,000 /month","Teamwork, Time Management"
